,code,pinyin_abbr,fund_name,fund_type,pinyin
300,000433,AXXFYXHHA,安信鑫发优选混合A,混合型-灵活,ANXINXINFAYOUXUANHUNHEA
301,000434,XHYNBHBA,新华壹诺宝货币A,货币型-普通货币,XINHUAYINUOBAOHUOBIA
302,000436,YFDYHDKHHA,易方达裕惠定开混合A,混合型-偏债,YIFANGDAYUHUIDINGKAIHUNHEA
303,000452,NFYYBJLHPZHHA,南方医药保健灵活配置混合A,混合型-灵活,NANFANGYIYAOBAOJIANLINGHUOPEIZHIHUNHEA
304,000457,MGHXCZGPA,摩根核心成长股票A,股票型,MOGENHEXINCHENGZHANGGUPIAOA
305,000458,YDLXHBA,英大领先回报A,混合型-灵活,YINGDALINGXIANHUIBAOA
306,000459,YDLXHBB,英大领先回报B,混合型-灵活,YINGDALINGXIANHUIBAOB
307,000462,NYZTLDHHA,农银主题轮动混合A,混合型-灵活,NONGYINZHUTILUNDONGHUNHEA
308,000464,JSHQBHBA,嘉实活期宝货币A,货币型-普通货币,JIASHIHUOQIBAOHUOBIA
309,000465,JSCCXYXDQZFZQ,景顺长城鑫月薪定期支付债券,债券型-长债,JINGSHUNCHANGCHENGXINYUEXINDINGQIZHIFUZHAIQUAN
310,000469,FGMBQLYNQCZZQ,富国目标齐利一年期纯债债券,债券型-长债,FUGUOMUBIAOQILIYINIANQICHUNZHAIZHAIQUAN
311,000470,FGMBQLYNQCZZQ,富国目标齐利一年期纯债债券(后端),债券型-长债,FUGUOMUBIAOQILIYINIANQICHUNZHAIZHAIQUAN
312,000471,FGCZFZGP,富国城镇发展股票,股票型,FUGUOCHENGZHENFAZHANGUPIAO
313,000472,FGCZFZGP,富国城镇发展股票(后端),股票型,FUGUOCHENGZHENFAZHANGUPIAO
314,000475,GFTTLHBA,广发天天利货币A,货币型-普通货币,GUANGFATIANTIANLIHUOBIA
315,000476,GFTTLHBB,广发天天利货币B,货币型-普通货币,GUANGFATIANTIANLIHUOBIB
316,000477,GFZTLXHHA,广发主题领先混合A,混合型-灵活,GUANGFAZHUTILINGXIANHUNHEA
317,000478,JXZZ500ZSZQA,建信中证500指数增强A,指数型-股票,JIANXINZHONGZHENG500ZHISHUZENGQIANGA
318,000480,DFHXDLHHA,东方红新动力混合A,混合型-灵活,DONGFANGHONGXINDONGLIHUNHEA
319,000483,XYHBA,鑫元货币A,货币型-普通货币,XINYUANHUOBIA
320,000484,XYHBB,鑫元货币B,货币型-普通货币,XINYUANHUOBIB
